dominant_dictionary_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
financial_risk,HAL,2013Q2,2,0.5,1,47,0.042553191,0.042553191
financial_risk,HAL,2013Q3,3,0.333333333,1,55,0.054545455,0.054545455
financial_risk,HAL,2014Q3,1,1,1,39,0.025641026,0.025641026
financial_risk,HAL,2015Q1,1,-1,-1,73,0.01369863,-0.01369863
financial_risk,HAL,2015Q2,1,1,1,59,0.016949153,0.016949153
financial_risk,HAL,2015Q3,2,-1,-2,95,0.021052632,-0.042105263
financial_risk,HAL,2016Q1,1,-1,-1,88,0.011363636,-0.011363636
financial_risk,HAL,2016Q2,1,-1,-1,90,0.011111111,-0.011111111
financial_risk,HAL,2016Q4,1,-1,-1,73,0.01369863,-0.01369863
financial_risk,HAL,2017Q4,1,-1,-1,125,0.008,-0.008
financial_risk,HAL,2018Q3,3,-1.333333333,-4,126,0.023809524,-0.095238095
financial_risk,HAL,2018Q4,1,-1,-1,143,0.006993007,-0.006993007
financial_risk,HAL,2019Q1,2,-0.5,-1,140,0.014285714,-0.014285714
financial_risk,HAL,2019Q2,2,0,0,154,0.012987013,0
financial_risk,HAL,2019Q3,6,0.333333333,2,157,0.038216561,0.076433121
financial_risk,HAL,2020Q1,1,1,1,213,0.004694836,0.004694836
financial_risk,HAL,2020Q2,3,-1,-3,190,0.015789474,-0.047368421
financial_risk,HAL,2020Q3,1,-1,-1,144,0.006944444,-0.006944444
financial_risk,HAL,2021Q2,1,-1,-1,193,0.005181347,-0.005181347
financial_risk,HAL,2021Q3,2,0.5,1,216,0.009259259,0.009259259
financial_risk,HAL,2022Q2,7,0.428571429,3,131,0.053435115,0.160305344
financial_risk,HAL,2023Q1,1,0,0,151,0.006622517,0
financial_risk,HAL,2023Q2,1,1,1,212,0.004716981,0.004716981
financial_risk,HESM,2024Q3,2,2,4,163,0.012269939,0.049079755
financial_risk,HLX,2011Q1,1,0,0,39,0.025641026,0
financial_risk,HLX,2024Q4,1,0,0,146,0.006849315,0
financial_risk,HP,1998Q4,1,0,0,8,0.125,0
financial_risk,HP,1999Q2,2,0,0,6,0.333333333,0
financial_risk,HP,1999Q4,1,0,0,6,0.166666667,0
financial_risk,HP,2000Q2,1,0,0,10,0.1,0
financial_risk,HP,2001Q1,1,0,0,22,0.045454545,0
financial_risk,HP,2001Q3,1,0,0,10,0.1,0
financial_risk,HP,2001Q4,2,0,0,12,0.166666667,0
financial_risk,HP,2002Q1,3,0,0,32,0.09375,0
financial_risk,HP,2002Q3,1,0,0,8,0.125,0
financial_risk,HP,2003Q2,1,0,0,10,0.1,0
financial_risk,HP,2003Q3,1,0,0,4,0.25,0
financial_risk,HP,2003Q4,1,0,0,11,0.090909091,0
financial_risk,HP,2004Q3,1,0,0,14,0.071428571,0
financial_risk,HP,2004Q4,2,0,0,12,0.166666667,0
financial_risk,HP,2005Q1,2,0,0,17,0.117647059,0
financial_risk,HP,2005Q2,1,0,0,18,0.055555556,0
financial_risk,HP,2006Q1,1,0,0,10,0.1,0
financial_risk,HP,2006Q2,2,0,0,16,0.125,0
financial_risk,HP,2006Q4,1,0,0,10,0.1,0
financial_risk,HP,2007Q2,1,0,0,23,0.043478261,0
financial_risk,HP,2007Q3,1,0,0,12,0.083333333,0
financial_risk,HP,2008Q1,2,0,0,10,0.2,0
financial_risk,HP,2009Q1,2,0,0,19,0.105263158,0
financial_risk,HP,2009Q2,1,-1,-1,15,0.066666667,-0.066666667
financial_risk,HP,2009Q3,2,0.5,1,27,0.074074074,0.074074074
financial_risk,HP,2009Q4,3,0.666666667,2,32,0.09375,0.1875
financial_risk,HP,2010Q1,3,-0.666666667,-2,25,0.12,-0.24
financial_risk,HP,2010Q3,12,-0.083333333,-1,92,0.130434783,-0.130434783
financial_risk,HP,2010Q4,1,0,0,41,0.024390244,0
financial_risk,HP,2011Q2,3,0,0,35,0.085714286,0
financial_risk,HP,2011Q3,2,0,0,28,0.071428571,0
financial_risk,HP,2011Q4,2,0,0,38,0.052631579,0
financial_risk,HP,2012Q1,1,0,0,48,0.020833333,0
financial_risk,HP,2012Q2,4,0,0,35,0.114285714,0
financial_risk,HP,2012Q3,3,0,0,54,0.055555556,0
financial_risk,HP,2012Q4,3,0,0,45,0.066666667,0
financial_risk,HP,2013Q1,4,0,0,68,0.058823529,0
financial_risk,HP,2013Q2,5,0,0,47,0.106382979,0
financial_risk,HP,2013Q4,3,0,0,41,0.073170732,0
financial_risk,HP,2014Q1,1,0,0,29,0.034482759,0
financial_risk,HP,2014Q2,1,0,0,38,0.026315789,0
financial_risk,HP,2014Q3,1,0,0,39,0.025641026,0
financial_risk,HP,2014Q4,3,0,0,81,0.037037037,0
financial_risk,HP,2015Q1,3,0,0,73,0.04109589,0
financial_risk,HP,2015Q2,1,0,0,59,0.016949153,0
financial_risk,HP,2015Q3,3,0.333333333,1,95,0.031578947,0.031578947
financial_risk,HP,2015Q4,7,0,0,74,0.094594595,0
financial_risk,HP,2016Q1,4,0,0,88,0.045454545,0
financial_risk,HP,2016Q2,6,0,0,90,0.066666667,0
financial_risk,HP,2016Q3,3,0,0,88,0.034090909,0
financial_risk,HP,2016Q4,4,0,0,73,0.054794521,0
financial_risk,HP,2017Q2,2,0,0,98,0.020408163,0
financial_risk,HP,2017Q3,2,0,0,112,0.017857143,0
financial_risk,HP,2017Q4,8,0,0,125,0.064,0
financial_risk,HP,2018Q1,5,-0.2,-1,94,0.053191489,-0.053191489
financial_risk,HP,2018Q3,1,0,0,126,0.007936508,0
financial_risk,HP,2018Q4,2,0,0,143,0.013986014,0
financial_risk,HP,2019Q1,4,0,0,140,0.028571429,0
financial_risk,HP,2019Q2,8,-0.125,-1,154,0.051948052,-0.051948052
financial_risk,HP,2019Q4,10,0,0,172,0.058139535,0
financial_risk,HP,2020Q1,11,0.272727273,3,213,0.051643192,0.154929577
financial_risk,HP,2020Q2,4,0,0,190,0.021052632,0
financial_risk,HP,2020Q3,2,0,0,144,0.013888889,0
financial_risk,HP,2021Q1,1,-1,-1,215,0.004651163,-0.004651163
financial_risk,HP,2021Q2,1,0,0,193,0.005181347,0
financial_risk,HP,2021Q3,1,0,0,216,0.00462963,0
financial_risk,HP,2021Q4,1,0,0,164,0.006097561,0
financial_risk,HP,2022Q1,3,0.333333333,1,150,0.02,0.02
financial_risk,HP,2022Q2,5,0,0,131,0.038167939,0
financial_risk,HP,2022Q3,3,0,0,103,0.029126214,0
financial_risk,HP,2022Q4,7,-0.142857143,-1,153,0.045751634,-0.045751634
financial_risk,HP,2023Q1,6,-0.333333333,-2,151,0.039735099,-0.079470199
financial_risk,HP,2023Q2,7,-0.142857143,-1,212,0.033018868,-0.033018868
financial_risk,HP,2023Q3,3,0,0,137,0.02189781,0
financial_risk,HP,2023Q4,5,0,0,130,0.038461538,0
financial_risk,HP,2024Q1,6,0,0,128,0.046875,0
financial_risk,HP,2024Q2,7,0,0,102,0.068627451,0
financial_risk,HP,2024Q3,6,0,0,163,0.036809816,0
financial_risk,KRP,2020Q3,1,0,0,144,0.006944444,0
financial_risk,MNR,2023Q4,1,1,1,130,0.007692308,0.007692308
financial_risk,NBR,1999Q1,1,0,0,18,0.055555556,0
financial_risk,NBR,2006Q4,1,-1,-1,10,0.1,-0.1
financial_risk,NBR,2009Q1,1,-1,-1,19,0.052631579,-0.052631579
financial_risk,NBR,2010Q1,2,-1,-2,25,0.08,-0.16
financial_risk,NBR,2011Q4,1,1,1,38,0.026315789,0.026315789
financial_risk,NBR,2013Q3,1,-2,-2,55,0.018181818,-0.036363636
