dominant_LDA_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
3,HP,2016Q4,3,0,0,73,0.04109589,0
3,HP,2017Q1,1,0,0,73,0.01369863,0
3,HP,2017Q2,4,0.25,1,98,0.040816327,0.040816327
3,HP,2017Q4,3,0,0,125,0.024,0
3,HP,2018Q1,2,0,0,94,0.021276596,0
3,HP,2018Q2,2,0,0,130,0.015384615,0
3,HP,2018Q3,1,0,0,126,0.007936508,0
3,HP,2018Q4,2,0,0,143,0.013986014,0
3,HP,2019Q1,7,0.142857143,1,140,0.05,0.05
3,HP,2019Q2,4,0,0,154,0.025974026,0
3,HP,2019Q3,4,0.25,1,157,0.025477707,0.025477707
3,HP,2019Q4,9,0,0,172,0.052325581,0
3,HP,2020Q1,6,-0.333333333,-2,213,0.028169014,-0.056338028
3,HP,2020Q2,5,-0.6,-3,190,0.026315789,-0.078947368
3,HP,2020Q3,3,-1,-3,144,0.020833333,-0.0625
3,HP,2020Q4,3,0,0,180,0.016666667,0
3,HP,2021Q1,1,0,0,215,0.004651163,0
3,HP,2021Q2,2,0,0,193,0.010362694,0
3,HP,2021Q4,2,0,0,164,0.012195122,0
3,HP,2022Q1,6,-0.333333333,-2,150,0.04,-0.08
3,HP,2022Q2,11,-0.090909091,-1,131,0.083969466,-0.083969466
3,HP,2022Q3,3,0,0,103,0.029126214,0
3,HP,2022Q4,4,0,0,153,0.026143791,0
3,HP,2023Q1,4,0,0,151,0.026490066,0
3,HP,2023Q2,4,-0.25,-1,212,0.018867925,-0.018867925
3,HP,2023Q3,5,0,0,137,0.03649635,0
3,HP,2023Q4,2,0,0,130,0.015384615,0
3,HP,2024Q1,14,0,0,128,0.109375,0
3,HP,2024Q2,14,0,0,102,0.137254902,0
3,HP,2024Q3,12,0,0,163,0.073619632,0
3,HP,2024Q4,14,-0.071428571,-1,146,0.095890411,-0.095890411
3,IOGPQ,2018Q2,1,-1,-1,130,0.007692308,-0.007692308
3,KGS,2024Q3,1,1,1,163,0.006134969,0.006134969
3,KRP,2019Q4,1,1,1,172,0.005813953,0.005813953
3,KRP,2024Q4,1,1,1,146,0.006849315,0.006849315
3,LNG,2024Q4,1,1,1,146,0.006849315,0.006849315
3,MNR,2023Q4,1,1,1,130,0.007692308,0.007692308
3,MXC,2017Q4,1,0,0,125,0.008,0
3,NBR,2005Q3,1,1,1,6,0.166666667,0.166666667
3,NBR,2006Q4,2,0,0,10,0.2,0
3,NBR,2007Q4,1,1,1,6,0.166666667,0.166666667
3,NBR,2008Q4,1,-1,-1,18,0.055555556,-0.055555556
3,NBR,2009Q1,2,0,0,19,0.105263158,0
3,NBR,2010Q1,3,-0.333333333,-1,25,0.12,-0.12
3,NBR,2010Q3,1,2,2,92,0.010869565,0.02173913
3,NBR,2011Q2,1,1,1,35,0.028571429,0.028571429
3,NBR,2012Q1,2,1,2,48,0.041666667,0.083333333
3,NBR,2012Q3,1,1,1,54,0.018518519,0.018518519
3,NBR,2012Q4,2,-1.5,-3,45,0.044444444,-0.133333333
3,NBR,2013Q1,1,-1,-1,68,0.014705882,-0.014705882
3,NBR,2013Q3,2,-1.5,-3,55,0.036363636,-0.109090909
3,NBR,2014Q1,1,1,1,29,0.034482759,0.034482759
3,NBR,2014Q2,2,0.5,1,38,0.052631579,0.052631579
3,NBR,2014Q4,1,-2,-2,81,0.012345679,-0.024691358
3,NBR,2015Q1,2,-1,-2,73,0.02739726,-0.054794521
3,NBR,2015Q3,2,-0.5,-1,95,0.021052632,-0.021052632
3,NBR,2016Q2,1,-2,-2,90,0.011111111,-0.022222222
3,NBR,2017Q3,1,1,1,112,0.008928571,0.008928571
3,NBR,2017Q4,2,0,0,125,0.016,0
3,NBR,2018Q1,1,0,0,94,0.010638298,0
3,NBR,2019Q3,1,-2,-2,157,0.006369427,-0.012738854
3,NBR,2020Q1,2,0,0,213,0.009389671,0
3,NBR,2023Q2,1,-1,-1,212,0.004716981,-0.004716981
3,NBR,2024Q3,1,1,1,163,0.006134969,0.006134969
3,NBR,2024Q4,1,-1,-1,146,0.006849315,-0.006849315
3,NE,2017Q3,1,-1,-1,112,0.008928571,-0.008928571
3,NES,2013Q2,1,0,0,47,0.021276596,0
3,NES,2014Q3,1,2,2,39,0.025641026,0.051282051
3,NES,2017Q1,1,0,0,73,0.01369863,0
3,NES,2017Q2,1,-1,-1,98,0.010204082,-0.010204082
3,NESR,2017Q2,1,1,1,98,0.010204082,0.010204082
3,NEX,2016Q4,1,0,0,73,0.01369863,0
3,NEX,2017Q1,1,0,0,73,0.01369863,0
3,NEX,2017Q2,1,1,1,98,0.010204082,0.010204082
3,NEX,2018Q1,2,0,0,94,0.021276596,0
3,NEX,2018Q2,1,0,0,130,0.007692308,0
3,NEX,2018Q4,1,0,0,143,0.006993007,0
3,NEX,2019Q3,1,-1,-1,157,0.006369427,-0.006369427
3,NEX,2020Q2,2,0,0,190,0.010526316,0
3,NEX,2023Q2,2,-0.5,-1,212,0.009433962,-0.009433962
3,NEX,2024Q1,1,0,0,128,0.0078125,0
3,PDCE,2013Q3,1,-1,-1,55,0.018181818,-0.018181818
3,PDCE,2016Q1,2,0,0,88,0.022727273,0
3,PDCE,2016Q3,3,1.333333333,4,88,0.034090909,0.136363636
3,PDCE,2017Q1,1,1,1,73,0.01369863,0.01369863
3,PDCE,2019Q1,2,1,2,140,0.014285714,0.028571429
