dominant_dictionary_topic,dominant_LDA_topic,ticker,quarter,total_mentions,avg_market_impact,sum_market_impact,quarter_total_mentions,mention_percentage,weighted_market_impact
demand_side,3,EQT,2024Q1,3,0.3333333333333333,1.0,3,1.0,1.0
demand_side,3,EQT,2024Q2,2,0.0,0.0,3,0.6666666666666666,0.0
demand_side,3,EQT,2024Q4,2,0.0,0.0,3,0.6666666666666666,0.0
demand_side,3,FANG,2017Q4,2,0.0,0.0,2,1.0,0.0
demand_side,3,FANG,2018Q2,1,0.0,0.0,6,0.16666666666666666,0.0
demand_side,3,FANG,2018Q4,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,3,FANG,2020Q1,1,0.0,0.0,6,0.16666666666666666,0.0
demand_side,3,FANG,2020Q2,1,0.0,0.0,8,0.125,0.0
demand_side,3,FANG,2022Q4,1,0.0,0.0,1,1.0,0.0
demand_side,3,HAL,2010Q2,2,0.0,0.0,2,1.0,0.0
demand_side,3,HAL,2010Q4,1,-2.0,-2.0,3,0.3333333333333333,-0.6666666666666666
demand_side,3,HAL,2011Q1,2,0.5,1.0,2,1.0,1.0
demand_side,3,HAL,2012Q2,2,-1.5,-3.0,4,0.5,-1.5
demand_side,3,HAL,2013Q2,2,-0.5,-1.0,4,0.5,-0.5
demand_side,3,HAL,2014Q4,1,-1.0,-1.0,1,1.0,-1.0
demand_side,3,HAL,2015Q1,2,-0.5,-1.0,2,1.0,-1.0
demand_side,3,HAL,2016Q2,1,-1.0,-1.0,2,0.5,-0.5
demand_side,3,HAL,2018Q2,1,-1.0,-1.0,6,0.16666666666666666,-0.16666666666666666
demand_side,3,HAL,2019Q3,1,1.0,1.0,5,0.2,0.2
demand_side,3,HAL,2020Q2,1,-2.0,-2.0,8,0.125,-0.25
demand_side,3,HAL,2021Q1,1,1.0,1.0,2,0.5,0.5
demand_side,3,HAL,2021Q2,1,-1.0,-1.0,3,0.3333333333333333,-0.3333333333333333
demand_side,3,HAL,2021Q3,1,1.0,1.0,13,0.07692307692307693,0.07692307692307693
demand_side,3,HAL,2021Q4,1,1.0,1.0,4,0.25,0.25
demand_side,3,HP,2008Q1,1,0.0,0.0,1,1.0,0.0
demand_side,3,HP,2009Q1,1,0.0,0.0,1,1.0,0.0
demand_side,3,HP,2010Q1,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,3,HP,2010Q3,1,-2.0,-2.0,3,0.3333333333333333,-0.6666666666666666
demand_side,3,HP,2010Q4,2,0.0,0.0,3,0.6666666666666666,0.0
demand_side,3,HP,2013Q2,1,-1.0,-1.0,4,0.25,-0.25
demand_side,3,HP,2015Q4,1,-1.0,-1.0,1,1.0,-1.0
demand_side,3,HP,2016Q3,1,0.0,0.0,4,0.25,0.0
demand_side,3,HP,2017Q2,1,0.0,0.0,1,1.0,0.0
