date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor
2016-03-14,Thomson_Reuters,1,0,1,0,0,1
2015-09-18,Thomson_Reuters,1,0,1,0,0,1
2022-10-03,Thomson_Reuters,0,0,1,0,0,1
2023-03-30,Viet_Nam_News,0,0,0,0,0,1
2022-01-17,New_Strait_Times,0,2,0,0,1,3
2022-08-24,Thomson_Reuters,0,0,0,0,0,1
2023-01-03,The_Wall_Street_Journal,0,0,2,0,0,1
2023-05-22,The_Wall_Street_Journal,0,0,1,0,0,2
2022-09-19,The_Wall_Street_Journal,0,0,0,0,0,1
2022-09-06,The_Wall_Street_Journal,0,0,0,0,0,1
2022-04-12,The_Wall_Street_Journal,0,1,2,0,0,1
2021-04-30,The_Business_Times,0,0,0,0,0,1
2020-12-04,The_Phnom_Penh_Post,1,0,0,0,0,1
2020-12-29,The_Wall_Street_Journal,0,0,0,0,0,1
2021-03-26,New_Strait_Times,0,0,0,0,0,3
2021-04-09,The_Wall_Street_Journal,0,0,0,0,0,1
2021-12-10,The_Wall_Street_Journal,0,0,0,0,0,1
2021-02-27,Channel_News_Asia,0,0,1,0,0,1
2021-04-06,The_Wall_Street_Journal,0,0,0,0,0,1
2021-01-17,The_Jakarta_Post,0,0,0,0,0,1
2021-03-01,The_Business_Times,0,0,1,0,0,1
2021-03-09,The_Wall_Street_Journal,0,0,0,0,0,1
2021-03-01,The_Phnom_Penh_Post,1,0,0,0,0,1
2020-02-06,New_Strait_Times,0,0,0,0,0,1
2021-07-06,The_Wall_Street_Journal,0,0,0,0,0,1
2021-11-02,The_Wall_Street_Journal,0,0,0,0,0,1
2021-01-05,New_Strait_Times,0,0,0,0,0,1
2021-10-19,The_Wall_Street_Journal,0,0,0,0,0,1
2021-02-26,Thomson_Reuters,0,0,1,0,0,1
2020-02-04,The_Wall_Street_Journal,0,0,0,0,0,2
2019-07-02,The_Wall_Street_Journal,0,0,0,1,0,1
2017-06-05,The_Jakarta_Post,0,0,0,0,0,1
2018-06-18,The_Wall_Street_Journal,0,0,1,0,0,1
2016-11-29,The_Wall_Street_Journal,0,0,0,0,0,1
2018-10-12,Financial_Times,0,0,0,0,0,1
2015-12-06,The_Wall_Street_Journal,0,0,1,0,0,1
2018-04-24,The_Wall_Street_Journal,1,0,2,0,0,1
2013-12-01,The_Wall_Street_Journal,0,0,0,0,0,2
2019-05-07,The_Wall_Street_Journal,0,0,0,0,0,1
2015-04-28,The_Wall_Street_Journal,0,0,0,0,0,2
2016-11-30,The_Wall_Street_Journal,0,0,0,0,0,1
2018-11-27,The_Wall_Street_Journal,0,0,0,0,0,1
2017-06-25,The_Wall_Street_Journal,0,0,0,0,0,1
2018-06-05,Thomson_Reuters,0,0,0,0,0,1
2019-10-01,The_Wall_Street_Journal,0,0,0,0,0,1
2019-08-20,New_Strait_Times,0,0,0,0,0,1
2019-07-19,The_Wall_Street_Journal,0,0,0,0,0,1
2023-11-21,The_Wall_Street_Journal,0,0,3,0,0,1
2023-07-26,The_Business_Times,0,0,0,0,0,1
2024-05-01,Financial_Times,0,0,0,0,0,1
2024-05-14,The_Business_Times,0,0,0,0,1,1
2024-04-12,Viet_Nam_News,0,1,0,0,0,1
2024-04-12,The_Business_Times,0,0,0,0,0,1
2024-11-28,API_NEWS_en,0,0,0,0,0,1
2024-11-27,API_NEWS_en,0,0,0,0,0,1
2022-01-25,New_Strait_Times,0,0,0,0,0,1
2022-06-07,Financial_Times,0,1,0,0,0,2
2022-10-14,Financial_Times,1,0,0,2,0,1
2023-01-03,Manila_Bulletin,0,0,0,0,0,2
2022-11-11,Financial_Times,0,0,0,0,0,1
2023-05-17,Thomson_Reuters,0,0,0,0,0,1
2022-12-20,New_Strait_Times,0,0,0,0,1,1
2022-12-28,New_Strait_Times,0,0,0,0,0,1
2022-06-29,The_Wall_Street_Journal,2,0,0,0,0,1
2022-12-20,The_Jakarta_Post,0,0,0,0,0,1
2023-04-17,South_China_Morning_Post,0,0,0,0,0,2
