date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,dominant_LDA_topic,dominant_dictionary_topic
2024-08-30,seekingalpha,0,0,1,0,0,1,0.6350299,0.0,0.0,0.3647821,0.0,0,financial_risk
2024-09-10,seekingalpha,1,0,4,0,0,1,0.35824144,0.0,0.0,0.6045868,0.031033736,3,financial_risk
2025-02-21,thesun,0,0,0,2,0,1,0.45767874,0.010776219,0.47411767,0.02221404,0.035213377,2,geopolitical_risk
2014-10-07,Thomson_Reuters,3,1,0,0,0,1,0.0,0.0,0.7233058,0.275913,0.0,2,supply_side
2017-01-17,Thomson_Reuters,2,0,0,0,0,1,0.0,0.0,0.119088,0.87995017,0.0,3,supply_side
2001-03-28,The_Wall_Street_Journal,0,0,1,1,0,1,0.6049958,0.0,0.042283736,0.3396237,0.0,0,financial_risk
2016-10-12,The_Wall_Street_Journal,2,0,0,0,0,1,0.02022567,0.0,0.12638466,0.83877075,0.014513505,3,supply_side
2020-03-09,Financial_Times,7,0,6,1,0,1,0.304441,0.0,0.17073181,0.51413584,0.010680346,3,supply_side
2020-04-21,Financial_Times,5,0,6,0,0,2,0.36113477,0.0,0.047801852,0.57801026,0.010439459,3,financial_risk
2016-11-14,Thomson_Reuters,4,0,0,0,0,1,0.07211541,0.0,0.12913093,0.7905917,0.0,3,supply_side
2022-03-07,Thomson_Reuters,1,0,0,0,0,1,0.0,0.0,0.0,0.9822498,0.0,3,supply_side
2022-03-07,Thomson_Reuters,1,0,0,0,0,1,0.08133231,0.0,0.6263579,0.29177025,0.0,2,supply_side
2022-03-15,Thomson_Reuters,1,0,1,0,0,1,0.039569635,0.0,0.35207546,0.6080544,0.0,3,supply_side
2020-06-13,Thomson_Reuters,0,0,2,0,0,1,0.19936925,0.0,0.20957837,0.59036946,0.0,3,financial_risk
2020-06-17,Thomson_Reuters,0,0,2,0,0,1,0.44814786,0.04486923,0.08629635,0.42045552,0.0,0,financial_risk
2020-04-21,Channel_News_Asia,1,0,2,0,0,1,0.0,0.0,0.4690243,0.5303372,0.0,3,financial_risk
2020-09-01,Thomson_Reuters,0,0,1,0,0,1,0.0,0.0,0.0,0.98499453,0.0,3,financial_risk
2020-09-30,Thomson_Reuters,1,1,2,0,0,1,0.0,0.0,0.2221871,0.77663326,0.0,3,financial_risk
2020-08-14,Thomson_Reuters,1,0,1,0,0,1,0.0,0.0,0.4911422,0.50692064,0.0,3,supply_side
2020-03-09,Thomson_Reuters,2,0,0,0,0,1,0.05947394,0.0,0.0,0.93981355,0.0,3,supply_side
2021-06-07,Thomson_Reuters,2,0,0,0,0,1,0.0,0.0,0.32244483,0.6770659,0.0,3,supply_side
2020-07-17,Channel_News_Asia,2,0,1,0,0,2,0.024168534,0.0,0.8647199,0.11097533,0.0,2,supply_side
2020-05-11,Thomson_Reuters,1,0,1,0,0,1,0.0,0.0,0.36731824,0.55111814,0.081014074,3,supply_side
2020-06-09,Thomson_Reuters,2,0,1,0,0,1,0.0,0.0,0.6284255,0.3702849,0.0,2,supply_side
2020-04-22,Channel_News_Asia,0,1,1,0,0,1,0.055104323,0.0,0.3594493,0.5479775,0.037358936,3,demand_side
2020-05-01,The_Wall_Street_Journal,1,1,1,0,0,1,0.12870999,0.0,0.30109322,0.5698288,0.0,3,supply_side
2021-02-08,Thomson_Reuters,0,0,1,0,0,1,0.1778361,0.030268857,0.50524867,0.2865195,0.0,2,financial_risk
2020-04-01,Thomson_Reuters,1,0,2,0,0,1,0.0,0.0,0.15095657,0.8481094,0.0,3,financial_risk
2020-04-20,Thomson_Reuters,1,0,2,0,0,1,0.0,0.0,0.45035678,0.53339875,0.0158139,3,financial_risk
2020-03-16,Thomson_Reuters,3,0,1,0,0,1,0.0,0.0,0.03396416,0.96519214,0.0,3,supply_side
2020-04-14,Thomson_Reuters,1,0,2,0,0,1,0.20535976,0.0,0.38728106,0.40710482,0.0,3,financial_risk
2020-03-11,Thomson_Reuters,0,0,3,0,0,1,0.18479341,0.0,0.14924414,0.6657032,0.0,3,financial_risk
2020-05-11,Thomson_Reuters,4,0,3,0,0,1,0.0,0.0,0.23054206,0.7444167,0.02448649,3,supply_side
2020-04-02,Thomson_Reuters,1,3,1,0,0,1,0.27073166,0.0,0.06949241,0.6297777,0.029927881,3,demand_side
2020-09-29,Thomson_Reuters,1,0,2,0,0,1,0.04319577,0.0,0.13415354,0.822226,0.0,3,financial_risk
2020-07-17,Thomson_Reuters,2,0,1,0,0,2,0.017461354,0.0,0.8729917,0.109406,0.0,2,supply_side
2020-03-30,Thomson_Reuters,1,0,5,0,0,1,0.04199076,0.0,0.32515305,0.6326446,0.0,3,financial_risk
2020-04-01,Thomson_Reuters,1,1,2,0,0,2,0.0,0.0,0.16129987,0.8311651,0.0,3,financial_risk
2020-05-11,Thomson_Reuters,2,0,4,0,0,1,0.0,0.0,0.21238776,0.7865665,0.0,3,financial_risk
2020-10-01,Thomson_Reuters,1,1,2,0,0,1,0.0,0.0,0.13506015,0.86342573,0.0,3,financial_risk
2020-04-21,Thomson_Reuters,0,1,1,0,0,1,0.035113808,0.0,0.37492952,0.531449,0.05839181,3,demand_side
2020-09-01,Thomson_Reuters,1,0,1,0,0,1,0.0,0.0,0.27633634,0.7214881,0.0,3,supply_side
2020-08-28,Thomson_Reuters,1,0,2,0,0,1,0.0,0.0,0.6770682,0.32220116,0.0,2,financial_risk
2020-04-17,Thomson_Reuters,1,0,1,0,0,2,0.032466352,0.0,0.3935071,0.5412127,0.032677837,3,natural_factor
2019-03-16,Thomson_Reuters,1,0,2,0,0,1,0.08849501,0.0,0.12931146,0.7818676,0.0,3,financial_risk
2016-07-14,Thomson_Reuters,1,0,0,0,0,1,0.07097789,0.0,0.4556198,0.39146528,0.08181617,2,supply_side
2015-10-16,Thomson_Reuters,1,0,0,0,0,1,0.05129686,0.0,0.15348807,0.7948334,0.0,3,supply_side
2019-04-02,Thomson_Reuters,1,0,1,0,0,1,0.062235914,0.0,0.120198935,0.81101733,0.0,3,supply_side
